Symbol,Name,Country,Sector,Industry
ACDI,Ascendant Digital Acquisition Corp. III Class A Ordinary Shares,,Finance,Business Services
ACEL,Accel Entertainment Inc. ,United States,Consumer Discretionary,Recreational Games/Products/Toys
ACHR,Archer Aviation Inc. Class A Common Stock,United States,Industrials,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,United States,Consumer Staples,Food Chains
ACM,AECOM Common Stock,United States,Consumer Discretionary,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,Consumer Discretionary,Business Services
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,United States,,
ACR,ACRES Commercial Realty Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,United States,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,,Industrials,Consumer Electronics/Appliances
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
ADC,Agree Realty Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,United States,,
ADCT,ADC Therapeutics SA Common Shares,,Health Care,Biotechnology: Pharmaceutical Preparations
ADEX,Adit EdTech Acquisition Corp. Common Stock,,Industrials,Consumer Electronics/Appliances
ADM,Archer-Daniels-Midland Company Common Stock,United States,,
ADNT,Adient plc Ordinary Shares ,,Consumer Discretionary,Auto Parts:O.E.M.
ADT,ADT Inc. Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
ADX,Adams Diversified Equity Fund Inc.,United States,Finance,Investment Managers
AEE,Ameren Corporation Common Stock,United States,Utilities,Power Generation
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,,
AEG,AEGON N.V. Common Stock,Netherlands,Finance,Life Insurance
AEL,American Equity Investment Life Holding Company Common Stock,United States,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,United States,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,United States,,
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,
AENZ,Aenza S.A.A. American Depositary Shares,,Industrials,Engineering & Construction
AEO,American Eagle Outfitters Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,Consumer Discretionary,Diversified Commercial Services
AES,The AES Corporation Common Stock,United States,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,United States,Utilities,Electric Utilities: Central
AEVA,Aeva Technologies Inc. Common Stock,,Consumer Discretionary,Auto Parts:O.E.M.
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,Finance,Trusts Except Educational Religious and Charitable
AFG,American Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,Finance,Real Estate
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,United States,Finance,Accident &Health Insurance
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,,Finance,Investment Managers
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,,Finance,Business Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,,
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,,Finance,Business Services
AGCO,AGCO Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
AGI,Alamos Gold Inc. Class A Common Shares,Canada,,
AGL,agilon health inc. Common Stock,,Health Care,Managed Health Care
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,United States,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,United States,,
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,United States,Utilities,Electric Utilities: Central
AGRO,Adecoagro S.A. Common Shares,Luxembourg,Consumer Staples,Farming/Seeds/Milling
AGS,PlayAGS Inc. Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys
AGTI,Agiliti Inc. Common Stock,,Health Care,Managed Health Care
AGX,Argan Inc. Common Stock,United States,Industrials,Oilfield Services/Equipment
AHH,Armada Hoffler Properties Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,
AHT,Ashford Hospitality Trust Inc Common Stock,United States,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States,,
AI,C3.ai Inc. Class A Common Stock,,Technology,Computer Software: Prepackaged Software
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States,Real Estate,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc. Common Stock,,Finance,Finance Companies
AIG,American International Group Inc. New Common Stock,United States,Finance,Life Insurance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,United States,,
AIN,Albany International Corporation Common Stock,United States,Consumer Discretionary,Textiles
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,,Finance,Finance/Investors Services
AIR,AAR Corp. Common Stock,United States,Industrials,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,,Real Estate,Real Estate Investment Trusts
AIT,Applied Industrial Technologies Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
AIU,Meta Data Limited ADS,,Consumer Discretionary,Service to the Health Industry
AIV,Apartment Investment and Management Company Common Stock,United States,Real Estate,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,United States,Finance,Specialty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,Finance,Accident &Health Insurance
AJG,Arthur J. Gallagher & Co. Common Stock,United States,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,United States,Industrials,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,Real Estate,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp. Common Stock,,Consumer Discretionary,Department/Specialty Retail Stores
AKO/A,Embotelladora Andina S.A.,Chile,,
AKO/B,Embotelladora Andina S.A.,Chile,,
AKR,Acadia Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
AL,Air Lease Corporation Class A Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,,
ALB,Albemarle Corporation Common Stock,United States,Industrials,Industrial Specialties
ALC,Alcon Inc. Ordinary Shares,Switzerland,Health Care,Ophthalmic Goods
ALCC,AltC Acquisition Corp. Class A Common Stock,,Industrials,Consumer Electronics/Appliances
ALE,Allete Inc.,United States,Utilities,Power Generation
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,Real Estate,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
ALIT,Alight Inc. Class A Common Stock,,Technology,EDP Services
ALK,Alaska Air Group Inc. Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
ALL,Allstate Corporation (The) Common Stock,United States,Finance,Property-Casualty Insurers
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,United States,,
ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,United States,,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,United States,,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,United States,,
ALLE,Allegion plc Ordinary Shares,United States,Consumer Discretionary,Diversified Commercial Services
ALLG,Allego N.V. Ordinary Share,,Consumer Discretionary,Other Specialty Stores
ALLY,Ally Financial Inc. Common Stock,United States,Finance,Diversified Financial Services
ALSN,Allison Transmission Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
ALTG,Alta Equipment Group Inc. Class A Common Stock,,Consumer Discretionary,Engineering & Construction
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),,,
ALV,Autoliv Inc. Common Stock,Sweden,Consumer Discretionary,Auto Parts:O.E.M.
ALX,Alexander's Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AM,Antero Midstream Corporation Common Stock,United States,Utilities,Natural Gas Distribution
AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMBC,Ambac Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,,Industrials,Containers/Packaging
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,,Consumer Discretionary,Movies/Entertainment
AMCR,Amcor plc Ordinary Shares,,Industrials,Containers/Packaging
AME,AMETEK Inc.,United States,Consumer Discretionary,Metal Fabrications
AMG,Affiliated Managers Group Inc. Common Stock,United States,Finance,Investment Managers
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,,Real Estate,Real Estate Investment Trusts
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,,,
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,,,
AMK,AssetMark Financial Holdings Inc. Common Stock,United States,Finance,Finance/Investors Services
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,United States,Health Care,Assisted Living Services
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,Mexico,Telecommunications,Telecommunications Equipment
AMP,Ameriprise Financial Inc. Common Stock,United States,Finance,Investment Managers
AMPS,Altus Power Inc. Class A Common Stock,,Utilities,Power Generation
AMPX,Amprius Technologies Inc. Common Stock,,Industrials,Electrical Products
AMPY,Amplify Energy Corp. Common Stock,United States,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,United States,Energy,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,United States,Industrials,Water Sewer Pipeline Comm & Power Line Construction
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,,Health Care,Biotechnology: Pharmaceutical Preparations
AMT,American Tower Corporation (REIT) Common Stock,United States,Real Estate,Real Estate Investment Trusts
AMTD,AMTD IDEA Group American Depositary Shares each representing two Class A Ordinary Shares,,Finance,Finance: Consumer Services
AMWL,American Well Corporation Class A Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,Mexico,Telecommunications,Telecommunications Equipment
AN,AutoNation Inc. Common Stock,United States,Consumer Discretionary,Other Specialty Stores
ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares,,Health Care,Biotechnology: Pharmaceutical Preparations
ANET,Arista Networks Inc. Common Stock,,Technology,Computer peripheral equipment
ANF,Abercrombie & Fitch Company Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANVS,Annovis Bio Inc. Common Stock,United States,Health Care, Medicinal Chemicals and Botanical Products 
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
AOMR,Angel Oak Mortgage Inc. Common Stock,,Real Estate,Real Estate Investment Trusts
AON,Aon plc Class A Ordinary Shares (Ireland),United States,Finance,Specialty Insurers
AORT,Artivion Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
AOS,A.O. Smith Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
AP,Ampco-Pittsburgh Corporation Common Stock,United States,Industrials,Metal Fabrications
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,United States,Finance,Investment Managers
APCA,AP Acquisition Corp Class A Ordinary Shares,,Finance,Business Services
APD,Air Products and Chemicals Inc. Common Stock,United States,Industrials,Specialty Chemicals
APE,AMC Entertainment Holdings Inc. AMC Preferred Equity Units each constituting a depositary share representing a 1/100th interest in a share of Series A Convertible Participating Preferred Stock,,Consumer Discretionary,Movies/Entertainment
APG,APi Group Corporation Common Stock,,Consumer Discretionary,Military/Government/Technical
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares,,Finance,Business Services
APH,Amphenol Corporation Common Stock,United States,Technology,Electrical Products
APLE,Apple Hospitality REIT Inc. Common Shares,United States,Real Estate,Real Estate Investment Trusts
APN,Apeiron Capital Investment Corp. Class A Common Stock,,Industrials,Consumer Electronics/Appliances
APO,Apollo Global Management Inc. (New) Common Stock,,Finance,Investment Managers
APRN,Blue Apron Holdings Inc. Class A Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution
APTV,Aptiv PLC Ordinary Shares,United Kingdom,Consumer Discretionary,Auto Parts:O.E.M.
APTV^A,Aptiv PLC 5.50% Series A Mandatory Convertible Preferred Shares,United Kingdom,,
AQN,Algonquin Power & Utilities Corp. Common Shares,,Utilities,Electric Utilities: Central
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,,Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,,Utilities,Electric Utilities: Central
AQNU,Algonquin Power & Utilities Corp. Corporate Units,,Utilities,Electric Utilities: Central
AQUA,Evoqua Water Technologies Corp. Common Stock,United States,Industrials,Office Equipment/Supplies/Services
AR,Antero Resources Corporation Common Stock,,Energy,Oil & Gas Production
ARC,ARC Document Solutions Inc. Common Stock,United States,Consumer Discretionary,Business Services
ARCH,Arch Resources Inc. Class A Common Stock,United States,Energy,Coal Mining
ARCO,Arcos Dorados Holdings Inc. Class A Shares,Argentina,Consumer Discretionary,Restaurants
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,United States,Finance,Investment Managers
ARE,Alexandria Real Estate Equities Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ARES,Ares Management Corporation Class A Common Stock,,Finance,Investment Managers
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,Bermuda,Finance,Specialty Insurers
ARGO,Argo Group International Holdings Ltd.,Bermuda,Finance,Specialty Insurers
ARGO^A,Argo Group International Holdings Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A,Bermuda,,
ARI,Apollo Commercial Real Estate Finance Inc,United States,Real Estate,Real Estate Investment Trusts
ARIS,Aris Water Solutions Inc. Class A Common Stock,,Utilities,Water Supply
ARL,American Realty Investors Inc. Common Stock,United States,Real Estate,Building operators
ARLO,Arlo Technologies Inc. Common Stock,United States,Technology,Security Systems Services
ARMK,Aramark Common Stock,,Technology,Interactive Media
ARNC,Arconic Corporation Common Stock ,,Consumer Discretionary,Aerospace
AROC,Archrock Inc. Common Stock,United States,Energy,Oil & Gas Production
ARR,ARMOUR Residential REIT Inc.,United States,Real Estate,Real Estate Investment Trusts
ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share),United States,,
ARW,Arrow Electronics Inc. Common Stock,United States,Technology,Electronic Components
ASA,ASA  Gold and Precious Metals Limited,United States,Industrials,Precious Metals
ASAI,Sendas Distribuidora S A ADS,,Consumer Staples,Food Chains
ASAN,Asana Inc. Class A Common Stock,,Technology,Retail: Computer Software & Peripheral Equipment
ASB,Associated Banc-Corp Common Stock,United States,Finance,Major Banks
ASB^E,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E,United States,,
ASB^F,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F,United States,,
ASC,Ardmore Shipping Corporation Common Stock,,Consumer Discretionary,Marine Transportation
ASG,Liberty All-Star Growth Fund Inc.,United States,Finance,Investment Managers
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,,Finance,Investment Managers
ASGN,ASGN Incorporated Common Stock,United States,Technology,EDP Services
ASH,Ashland Inc. Common Stock,United States,Industrials,Specialty Chemicals
ASIX,AdvanSix Inc. Common Stock ,United States,Industrials,Major Chemicals
ASPN,Aspen Aerogels Inc. Common Stock,United States,Industrials,Wholesale Distributors
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,Mexico,Consumer Discretionary,Aerospace
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,,Technology,Semiconductors
ATAQ,Altimar Acquisition Corp. III Class A Ordinary Shares,,Finance,Business Services
ATCO,Atlas Corp. Common Shares,United Kingdom,Consumer Discretionary,Marine Transportation
ATCO^D,Atlas Corp. 7.95% Series D,United Kingdom,,
ATCO^H,Atlas Corp. 7.875% Series H,United Kingdom,,
ATCO^I,Atlas Corp. Series I Fixed-to-Floating ,United Kingdom,,
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,,Industrials,Consumer Electronics/Appliances
ATEN,A10 Networks Inc. Common Stock,,Technology,EDP Services
ATGE,Adtalem Global Education Inc. Common Stock,United States,Consumer Discretionary,Other Consumer Services
ATH^A,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A,Bermuda,,
ATH^B,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share,Bermuda,,
ATH^C,Athene Holding Ltd. Depositary Shares each representing a 1/1000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares Series C,Bermuda,,
ATH^D,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D,Bermuda,,
ATH^E,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.750% Fixed-Rate Reset Perpetual Non-Cumulative Preference Share Series E,Bermuda,,
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,,Technology,EDP Services
ATI,ATI Inc. Common Stock,United States,Industrials,Steel/Iron Ore
ATIP,ATI Physical Therapy Inc. Class A Common Stock,,Health Care,Managed Health Care
ATKR,Atkore Inc. Common Stock,United States,Technology,Electrical Products
ATO,Atmos Energy Corporation Common Stock,United States,Utilities,Oil/Gas Transmission
ATR,AptarGroup Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
ATTO,Atento S.A. Ordinary Shares,,Telecommunications,Telecommunications Equipment
ATUS,Altice USA Inc. Class A Common Stock,United States,Telecommunications,Telecommunications Equipment
AU,AngloGold Ashanti Limited Common Stock,South Africa,Basic Materials,Precious Metals
AUD,Audacy Common Stock,United States,Consumer Discretionary,Broadcasting
AUY,Yamana Gold Inc. Ordinary Shares (Canada),Canada,,
AVA,Avista Corporation Common Stock,United States,Utilities,Power Generation
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),,Finance,Commercial Banks
AVB,AvalonBay Communities Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),United States,Industrials,Agricultural Chemicals
AVK,Advent Convertible and Income Fund,United States,Finance,Trusts Except Educational Religious and Charitable
AVNS,Avanos Medical Inc. Common Stock,United States,Health Care,Industrial Specialties
AVNT,Avient Corporation Common Stock,United States,Industrials,Major Chemicals
AVTR,Avantor Inc. Common Stock,,Industrials,Industrial Specialties
AVY,Avery Dennison Corporation Common Stock,United States,Miscellaneous,Office Equipment/Supplies/Services
AVYA,Avaya Holdings Corp. Common Stock,,Technology,Retail: Computer Software & Peripheral Equipment
AWF,Alliancebernstein Global High Income Fund,United States,Finance,Trusts Except Educational Religious and Charitable
AWI,Armstrong World Industries Inc Common Stock,United States,,
AWK,American Water Works Company Inc. Common Stock,United States,Utilities,Water Supply
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
AWR,American States Water Company Common Stock,United States,Utilities,Water Supply
AX,Axos Financial Inc. Common Stock,United States,Finance,Savings Institutions
AXAC,AXIOS Sustainable Growth Acquisition Corporation Class A Ordinary Shares,,Finance,Business Services
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
AXP,American Express Company Common Stock,United States,Finance,Finance: Consumer Services
AXR,AMREP Corporation Common Stock,United States,Real Estate,Homebuilding
AXS,Axis Capital Holdings Limited Common Stock,Bermuda,Finance,Property-Casualty Insurers
AXS^E,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares,Bermuda,,
AXTA,Axalta Coating Systems Ltd. Common Shares,United States,Consumer Discretionary,Paints/Coatings
AYI,Acuity Brands Inc. ,United States,Consumer Discretionary,Building Products
AYX,Alteryx Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
AZEK,The AZEK Company Inc. Class A Common Stock,United States,,
AZO,AutoZone Inc. Common Stock,United States,,
AZRE,Azure Power Global Limited Equity Shares,India,Utilities,Electric Utilities: Central
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),Brazil,Consumer Discretionary,Air Freight/Delivery Services
AZZ,AZZ Inc.,United States,Industrials,Industrial Specialties
B,Barnes Group Inc. Common Stock,United States,Industrials,Office Equipment/Supplies/Services
BA,Boeing Company (The) Common Stock,United States,Industrials,Aerospace
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,Consumer Discretionary,Catalog/Specialty Distribution
BAC,Bank of America Corporation Common Stock,United States,Finance,Major Banks
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,United States,,
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,United States,,
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,United States,,
BAC^L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,United States,,
BAC^M,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK,United States,,
BAC^N,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL,United States,,
BAC^O,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN,United States,,
BAC^P,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP,United States,,
