Symbol,Name,Country,Sector,Industry
CMCL,Caledonia Mining Corporation Plc Common Shares,Canada,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,United States,Consumer Discretionary,Electronic Components
COHN,Cohen & Company Inc.,United States,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,China,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,United States,Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,United States,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,United States,Consumer Discretionary,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,United States,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,,Health Care,Pharmaceuticals and Biotechnology
DC,Dakota Gold Corp. Common Stock,,Basic Materials,Precious Metals
DHY,Credit Suisse High Yield Bond Fund Common Stock,United States,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,United States,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,United States,Consumer Discretionary,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,United States,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),Canada,,
DPSI,DecisionPoint Systems Inc. Common Stock,,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,United States,,
DXF,Dunxin Financial Holdings Limited American Depositary Shares,China,Consumer Discretionary,Apparel
EAD,Allspring Income Opportunities Fund Common Shares,United States,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,United States,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),United States,,
EFSH,1847 Holdings LLC Common Shares,,Industrials,Consumer Electronics/Appliances
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,United States,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,United States,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),Israel,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,United States,Technology,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),Canada,,
ENSV,Enservco Corporation Common Stock,United States,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,United States,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,United States,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,United States,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,Canada,,
ERC,Allspring Multi-Sector Income Fund Common Stock,United States,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,United States,Technology,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,United States,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,United States,Industrials,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,United States,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
EXN,Excellon Resources Inc. Common Shares,,,
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,United States,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,United States,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,United States,Finance,Finance/Investors Services
FGH,FG Group Holdings Inc. Common Stock,United States,Consumer Discretionary,Industrial Machinery/Components
FLAG,First Light Acquisition Group Inc. Class A Common Stock,,Industrials,Consumer Electronics/Appliances
FOXO,FOXO Technologies Inc. Class A Common Stock,,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,United States,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),Canada,Consumer Discretionary,Recreational Games/Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,,,
GAU,Galiano Gold Inc.,Canada,,
GBR,New Concept Energy Inc Common Stock,United States,Real Estate,Real Estate
GENC,Gencor Industries Inc. Common Stock,United States,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,United States,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,United States,,
GLDG,GoldMining Inc. Common Shares,,,
GLO,Clough Global Opportunities Fund Common Stock,United States,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
GLTA,Galata Acquisition Corp. Class A Ordinary Shares,,Finance,Business Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,United States,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,United States,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,United States,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,United States,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,United States,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,United States,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,,,
GROY,Gold Royalty Corp. Common Shares,,,
GSAT,Globalstar Inc. Common Stock,United States,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,Canada,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Common Stock,,Industrials,Consumer Electronics/Appliances
HNW,Pioneer Diversified High Income Fund Inc.,United States,Finance,Finance/Investors Services
HPX,HPX Corp. Class A Ordinary Shares,United States,Finance,Business Services
HUSA,Houston American Energy Corporation Common Stock,United States,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,United States,,
HZON,Horizon Acquisition Corporation II Class A Ordinary Shares,United States,Finance,Business Services
IAF,abrdn Australia Equity Fund Inc. Common Stock,United States,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,,,
IBIO,iBio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
IDR,Idaho Strategic Resources Inc. Common Stock,,Basic Materials,Precious Metals
IDW,IDW Media Holdings Class B Common Stock,,Consumer Discretionary,Newspapers/Magazines
IE,Ivanhoe Electric Inc. Common Stock,,Basic Materials,Metal Mining
IGC,India Globalization Capital Inc. Common Stock,United States,Consumer Discretionary,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,United States,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,Canada,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,,Technology,EDP Services
INTT,inTest Corporation Common Stock,United States,Technology,Semiconductors
INUV,Inuvo Inc.,United States,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,United States,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,United States,Technology,Computer Software: Prepackaged Software
ISR,IsoRay Inc. Common Stock (DE),United States,Health Care,Medical Specialities
ITP,IT Tech Packaging Inc. Common Stock,China,Basic Materials,Paper
ITRG,Integra Resources Corp. Common Shares,,,
JOB,GEE Group Inc. Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,Canada,,
KNW,Know Labs Inc. Common Stock,,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,United States,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,United States,,
LGL,LGL Group Inc. (The) Common Stock,United States,Technology,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,United States,Utilities,Oil/Gas Transmission
LODE,Comstock Inc. Common Stock,United States,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,,Consumer Staples,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,United Kingdom,Industrials,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,Canada,,
MAIA,MAIA Biotechnology Inc. Common Stock,,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,,Finance,Finance/Investors Services
MHH,Mastech Digital Inc Common Stock,United States,Consumer Discretionary,Professional Services
MIMO,Airspan Networks Holdings Inc. Common Stock,,Consumer Discretionary,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,United States,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,,Basic Materials,Precious Metals
MNK,Mallinckrodt plc Ordinary Shares,,Health Care,Biotechnology: Pharmaceutical Preparations
MPTI,M-tron Industries Inc. Common Stock,,,
MSN,Emerson Radio Corporation Common Stock,United States,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,,,
MTMT,Mega Matrix Corp. Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
MTNB,Matinas Biopharma Holdings Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
MXC,Mexco Energy Corporation Common Stock,United States,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,United States,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,Canada,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,United States,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,United States,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,United States,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,United States,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,,,
NFGC,New Found Gold Corp Common Shares,,,
NG,Novagold Resources Inc.,Canada,,
NGD,New Gold Inc.,Canada,,
NHC,National HealthCare Corporation Common Stock,United States,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,United States,Finance,Trusts Except Educational Religious and Charitable
NHWK,NightHawk Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NILE,BitNile Holdings Inc. Common Stock,United States,Industrials,Military/Government/Technical
NILE^D,BitNile Holdings Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,United States,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,United States,Finance,Finance/Investors Services
NTIP,Network-1 Technologies Inc. Common Stock,United States,Technology,Interactive Media
OBE,Obsidian Energy Ltd. Common Shares,,,
OGEN,Oragenics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
ORLA,Orla Mining Ltd. Common Shares,,,
OZ,Belpointe PREP LLC Class A Units,,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,United States,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,United States,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,United States,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,United States,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,United States,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,United States,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,United States,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,United States,,
PED,Pedevco Corp. Common Stock,United States,,
PHGE,BiomX Inc. COmmon Stock,,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,China,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),Canada,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),Canada,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,Israel,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,United States,,
POL,Polished Inc. Common Stock,United States,Consumer Discretionary,Other Specialty Stores
PRK,Park National Corporation Common Stock,United States,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,United States,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,United States,,
PZG,Paramount Gold Nevada Corp. Common Stock,United States,Basic Materials,Precious Metals
RCG,RENN Fund Inc Common Stock,United States,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,United States,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,United States,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,,,
RLGT,Radiant Logistics Inc. Common Stock,United States,Consumer Discretionary,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,United States,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,United States,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,United States,,
SATX,SatixFy Communications Ltd. Ordinary Share,,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,,Consumer Staples,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,United States,Real Estate,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,United States,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,United States,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,United States,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,United States,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,United States,Real Estate,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,,Industrials,Metal Fabrications
SEB,Seaboard Corporation Common Stock,United States,Industrials,Consumer Electronics/Appliances
SENS,Senseonics Holdings Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SIF,SIFCO Industries Inc. Common Stock,United States,Industrials,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,,Industrials,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,Mexico,Industrials,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,,Industrials,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,,,
SNMP,Evolve Transition Infrastructure LP Common Stock,United States,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,United States,Consumer Staples,Retail-Drug Stores and Proprietary Stores
STXS,Stereotaxis Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,,,
SVT,Servotronics Inc. Common Stock,United States,Consumer Discretionary,Metal Fabrications
TELL,Tellurian Inc. Common Stock,United States,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,United States,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,Canada,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),Canada,,
TKAT,Takung Art Co. Ltd. Common Stock,,Consumer Discretionary,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,United States,Health Care, Medicinal Chemicals and Botanical Products 
TMP,Tompkins Financial Corporation Common Stock,United States,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,Canada,,
TOVX,Theriva Biologics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
TPHS,Trinity Place Holdings Inc. Common Stock,,Real Estate,Real Estate
TRT,Trio-Tech International Common Stock,United States,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,Canada,,
TWND,Tailwind Acquisition Corp. Class A Common Stock,,Industrials,Consumer Electronics/Appliances
UAMY,United States Antimony Corporation Common Stock,United States,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,United States,Industrials,Wholesale Distributors
UEC,Uranium Energy Corp. Common Stock,Canada,Basic Materials,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),Canada,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,United States,Technology,Security Systems Services
UUUU,Energy Fuels Inc Ordinary Shares (Canada),,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,United States,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,United States,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,,Industrials,Consumer Electronics/Appliances
VINE,Fresh Vine Wine Inc. Common Stock,,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),United States,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,Singapore,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VZLA,Vizsla Silver Corp. Common Shares,,,
WLMS,Williams Industrial Services Group Inc. Common Stock,,Industrials,Engineering & Construction
WRN,Western Copper and Gold Corporation Common Stock,Canada,,
WTT,Wireless Telecom Group  Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,United States,Basic Materials,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,United States,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,United States,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,United States,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,United States,,
ZDGE,Zedge Inc. Class B Common Stock ,,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,United States,Health Care,Pharmaceuticals and Biotechnology
